timestamp,symbol,side,quantity,price,wallet_after_trade
2025-08-13 15:08:25,AAPL,BUY,4,218.53,10000.00
2025-08-13 15:08:26,AAPL,SELL,4,229.55,9125.88
2025-08-13 15:08:26,TSLA,BUY,4,233.63,10044.10
2025-08-13 15:08:26,AAPL,BUY,3,237.12,9109.59
2025-08-13 15:08:27,TSLA,SELL,4,226.09,8398.23
2025-08-13 15:08:28,TSLA,BUY,4,230.73,9302.61
2025-08-13 15:08:28,AAPL,SELL,3,250.32,8379.71
2025-08-13 15:08:28,AAPL,BUY,3,259.81,9130.66
2025-08-13 15:08:29,TSLA,SELL,4,272.95,8351.24
2025-08-13 15:08:29,TSLA,BUY,3,255.30,9443.05
2025-08-13 15:08:29,AAPL,SELL,3,250.79,8677.16
2025-08-13 15:08:30,AAPL,BUY,3,242.05,9429.53
2025-08-13 15:08:30,TSLA,SELL,3,228.00,8703.38
2025-08-13 15:08:31,TSLA,BUY,4,227.86,9387.39
2025-08-13 15:08:31,TSLA,SELL,4,243.27,8475.96
2025-08-13 15:08:32,AAPL,SELL,3,256.41,9449.06
2025-08-13 15:08:32,TSLA,BUY,3,263.28,10218.30
2025-08-13 15:08:32,TSLA,SELL,3,247.01,9428.45
2025-08-13 15:08:47,TSLA,BUY,3,259.85,10169.48
2025-08-13 15:08:47,AAPL,BUY,3,248.36,9389.93
2025-08-13 15:08:47,TSLA,SELL,3,244.53,8644.84
2025-08-13 15:08:48,TSLA,BUY,3,251.02,9378.44
2025-08-13 15:08:48,AAPL,SELL,3,237.23,8625.37
2025-08-13 15:08:49,AAPL,BUY,3,240.60,9337.07
2025-08-13 15:08:50,TSLA,SELL,3,277.87,8615.28
2025-08-13 15:08:51,TSLA,BUY,3,271.69,9448.88
2025-08-13 15:08:51,AAPL,SELL,3,255.04,8633.82
2025-08-13 15:08:52,AAPL,BUY,3,247.37,9398.94
2025-08-13 15:08:52,TSLA,SELL,3,254.38,8656.84
2025-08-13 15:08:52,TSLA,BUY,3,266.59,9419.99
2025-08-13 15:08:53,AAPL,SELL,3,260.39,8620.21
2025-08-13 15:08:53,AAPL,BUY,3,261.10,9401.39
2025-08-13 15:08:54,AAPL,SELL,3,246.68,8618.09
2025-08-13 15:08:54,TSLA,SELL,3,253.61,9358.15
2025-08-13 15:08:55,AAPL,BUY,4,250.35,10118.99
2025-08-13 15:08:55,TSLA,BUY,3,244.78,9117.60
2025-08-13 15:08:55,TSLA,SELL,3,264.50,8383.28
2025-08-13 15:08:56,TSLA,BUY,3,261.98,9176.77
2025-08-13 15:08:56,TSLA,SELL,3,236.08,8390.84
2025-08-13 15:08:57,TSLA,BUY,3,239.41,9099.08
2025-08-13 15:08:58,TSLA,SELL,3,229.54,8380.86
2025-08-13 15:08:58,TSLA,BUY,3,244.64,9069.47
2025-08-13 15:08:59,TSLA,SELL,3,261.86,8335.54
2025-08-13 15:09:01,AAPL,SELL,4,238.53,9121.11
2025-08-13 15:09:01,AAPL,BUY,4,236.79,10075.22
2025-08-13 15:09:02,AAPL,SELL,4,248.64,9128.06
2025-08-13 15:09:03,AAPL,BUY,4,249.29,10122.61
2025-08-13 15:09:04,AAPL,SELL,4,239.52,9125.47
2025-08-13 15:09:04,AAPL,BUY,4,241.65,10083.55
2025-08-13 15:09:04,TSLA,BUY,3,239.02,9116.96
2025-08-13 15:09:06,AAPL,SELL,4,229.24,8399.89
2025-08-13 15:09:06,TSLA,SELL,3,261.81,9316.86
2025-08-13 15:09:06,AAPL,BUY,4,232.09,10102.29
2025-08-13 15:09:06,TSLA,BUY,3,253.15,9173.91
2025-08-13 15:09:08,TSLA,SELL,3,239.57,8414.47
2025-08-13 15:09:08,AAPL,SELL,4,255.88,9133.19
2025-08-13 15:09:09,TSLA,BUY,4,239.35,10156.71
2025-08-13 15:09:09,AAPL,BUY,3,251.07,9199.29
2025-08-13 15:09:10,TSLA,SELL,4,231.53,8446.08
2025-08-13 15:09:10,TSLA,BUY,4,231.31,9372.21
2025-08-13 15:09:11,TSLA,SELL,4,252.80,8446.97
2025-08-13 15:09:11,TSLA,BUY,3,255.92,9458.17
2025-08-13 15:09:12,TSLA,SELL,3,242.21,8690.40
2025-08-13 15:09:12,TSLA,BUY,3,260.66,9417.04
2025-08-13 15:09:13,AAPL,SELL,3,243.53,8635.06
2025-08-13 15:09:13,TSLA,SELL,3,233.59,9365.64
2025-08-13 15:09:14,AAPL,BUY,4,246.67,10066.42
2025-08-13 15:09:14,TSLA,BUY,4,226.34,9079.74
2025-08-13 15:09:14,AAPL,SELL,4,238.07,8174.38
2025-08-13 15:09:15,AAPL,BUY,3,234.88,9126.66
2025-08-13 15:09:15,TSLA,SELL,4,217.72,8422.01
2025-08-13 15:09:15,AAPL,SELL,3,227.16,9292.91
2025-08-13 15:09:15,TSLA,BUY,4,216.93,9974.38
2025-08-13 15:09:16,AAPL,BUY,3,235.75,9106.67
2025-08-13 15:09:18,TSLA,SELL,4,245.14,8399.41
